ASN,CH,DR
,,214
,,-153
,,275
,,-183
,,0
,,305
,,-153
,,61
,,183
,,-153
,,275
,,-153
,,275
,,-183
,,305
,,-183
,,305
,,-183
,,0
,,275
,,-153
,,0
,,275
,,-183
,,275
,,-153
,,0
,,275
,,-153
,,61
,,183
,,-153
,,305
,,-183
,,0
,,305
,,-183
,,61
,,214
,,-153
,,61
,,214
,,-183
,,305
,,-153
,,0
,,275
,,-122
,,-61
,,61
,,214
,,-153
,,275
,,-153
,,0
,,0
,,275
,,-183
,,61
,,214
,,-153
,,275
,,-153
,,0
,,275
,,-183
,,61
,,214
,,-153
,,275
,,-183
,,61
,,244
,,-183
,,61
,,214
,,-153
,,275
,,-122
,,0
,,275
,,-183
,,0
,,275
,,-183
,,305
,,-183
,,0
,,305
,,-183
,,61
,,214
,,-153
,,275
,,-183
,,0
,,305
,,-183
,,61
,,214
,,-153
,,275
,,-153
,,0
,,275
,,-153
,,0
,,275
,,-183
,,92
,,183
,,-153
,,305
,,-183
,,0
,,305
,,-183
,,61
,,214
,,-153
,,275
,,-153
,,0
,,275
,,-183
,,214
,,-183
,,0
,,275
,,-183
,,305
,,-122
,,-61
,,275
,,-122
,,0
,,214
,,-153
,,305
,,-122
,,-61
,,305
,,-183
,,61
,,214
,,-153
,,305
,,-183
,,275
,,-122
,,-61
,,305
,,-153
,,0
,,275
,,-183
,,305
,,-183
,,92
,,183
,,-153
,,275
,,-183
,,61
,,214
,,-153
,,61
,,214
,,-153
,,305
,,-183
,,275
,,-153
,,0
,,275
,,-153
,,61
,,214
,,-153
,,275
,,-153
,,0
,,305
,,-183
,,305
,,-183
,,275
,,-153
,,275
,,-183
,,0
,,275
